,Company Name,Job Name,Location,Rating,Pay (Annual or Hourly)
227,Garmin,"Software Engineer Intern (Garmin Pay, NFC - Summer 2022 - Boulder, CO)","Boulder, CO",4.2,23 - 28 
228,TikTok,Software Engineer Intern - 2022 Summer,"Mountain View, CA",3.6,80000 - 174000 
229,HP,Software Engineer Internship,"Spring, TX",4.2,64000 - 125000 
230,Twilio,Software Engineer Intern - USA - Summer 2022,"San Francisco, CA",4.4,41
231,Unity Technologies,Software Engineer Intern,"Bellevue, WA",4.4,78000 - 139000 
232,Intel,Graduate Software Engineer Intern,"Hillsboro, OR",4.2,62000 - 124000 
233,Allegion,Summer Intern - Software Engineer,"Golden, CO",3.7,20 - 24 
234,Salesforce,Summer 2022 Intern - Software Engineer,"Bellevue, WA",4.4,38
235,TikTok,Mobile Software Engineer Intern - 2022 Summer,"Seattle, WA",3.6,N/A
236,Etsy,"Software Engineering Intern, Summer 2022","Brooklyn, NY",4.5,57000 - 125000 
237,Bose,Software Engineering Summer Intern,"Framingham, MA",4,67000 - 141000 
238,"Alteryx, Inc.",Software Engineer Intern (Summer 2022),"Irvine, CA",3.6,40
239,MasterCard,Software Development Engineer Intern,"O'Fallon, MO",4.2,63000 - 126000 
240,MIM Software,Software Engineer Intern,"Beachwood, OH",4.5,51000 - 94000 
241,"Sandhills Global, Inc.",Software Development Intern,"Lincoln, NE",3,25
242,Northrop Grumman,"Intern, Software Engineer","Linthicum, MD",4,34 - 36 
243,Datix,Intern Software Developer,Remote,3.8,N/A
244,Northrop Grumman,"2022 Software Intern (Woodland Hills, CA)","Woodland Hills, CA",4,24 - 30 
245,Northrop Grumman,2022 Digital Software Engineer Intern-Baltimore,"Baltimore, MD",4,23 - 28 
246,Cognex Corporation,Software Engineering Intern,"Natick, MA",4,70000 - 132000 
247,Pinterest,Software Engineering Intern (USA),"Seattle, WA",4.2,81000 - 186000 
248,Salesforce,Software Engineer Intern - Quip,"San Francisco, CA",4.4,73000 - 165000 
249,Salesforce,Summer 2022 Intern - Tableau Software Engineer,"Austin, TX",4.4,38
250,Garmin,"Software Engineer Intern (Java, JavaScript, Python - Summer 2022 - Boulder, CO)","Boulder, CO",4.2,23 - 28 
251,Duolingo,"Software Engineer, Intern","Pittsburgh, PA",4.7,54000 - 115000 
252,Hewlett Packard Enterprise,Software Engineer - Intern,"Houston, TX",4,66000 - 146000 
253,Garmin,Software Engineer Intern,"Salem, OR",4.2,N/A
254,Autodesk,"Intern, Software Engineer",California,4.3,N/A
255,Microsoft,Explore: Intern Opportunities,"Redmond, WA",4.4,N/A
256,Snapchat,2022 Software Engineer Intern,"Los Angeles, CA",4.1,78000 - 173000 
257,Garmin,"Software Engineer Intern (Garmin Pay, NFC - Summer 2022 - Boulder, CO)","Boulder, CO",4.2,23 - 28 
258,TikTok,Software Engineer Intern - 2022 Summer,"Mountain View, CA",3.6,80000 - 174000 
259,HP,Software Engineer Internship,"Spring, TX",4.2,64000 - 125000 
260,Twilio,Software Engineer Intern - USA - Summer 2022,"San Francisco, CA",4.4,41
261,Unity Technologies,Software Engineer Intern,"Bellevue, WA",4.4,78000 - 139000 
262,Intel,Graduate Software Engineer Intern,"Hillsboro, OR",4.2,62000 - 124000 
263,Allegion,Summer Intern - Software Engineer,"Golden, CO",3.7,20 - 24 
264,Salesforce,Summer 2022 Intern - Software Engineer,"Bellevue, WA",4.4,38
265,TikTok,Mobile Software Engineer Intern - 2022 Summer,"Seattle, WA",3.6,N/A
266,Etsy,"Software Engineering Intern, Summer 2022","Brooklyn, NY",4.5,57000 - 125000 
267,Bose,Software Engineering Summer Intern,"Framingham, MA",4,67000 - 141000 
268,"Alteryx, Inc.",Software Engineer Intern (Summer 2022),"Irvine, CA",3.6,40
269,MasterCard,Software Development Engineer Intern,"O'Fallon, MO",4.2,63000 - 126000 
270,MIM Software,Software Engineer Intern,"Beachwood, OH",4.5,51000 - 94000 
271,"Sandhills Global, Inc.",Software Development Intern,"Lincoln, NE",3,25
272,Northrop Grumman,"Intern, Software Engineer","Linthicum, MD",4,34 - 36 
273,Datix,Intern Software Developer,Remote,3.8,N/A
274,Northrop Grumman,"2022 Software Intern (Woodland Hills, CA)","Woodland Hills, CA",4,24 - 30 
275,Northrop Grumman,2022 Digital Software Engineer Intern-Baltimore,"Baltimore, MD",4,23 - 28 
276,Cognex Corporation,Software Engineering Intern,"Natick, MA",4,70000 - 132000 
277,Pinterest,Software Engineering Intern (USA),"Seattle, WA",4.2,81000 - 186000 
278,Salesforce,Software Engineer Intern - Quip,"San Francisco, CA",4.4,73000 - 165000 
279,Salesforce,Summer 2022 Intern - Tableau Software Engineer,"Austin, TX",4.4,38
280,Garmin,"Software Engineer Intern (Java, JavaScript, Python - Summer 2022 - Boulder, CO)","Boulder, CO",4.2,23 - 28 
281,Duolingo,"Software Engineer, Intern","Pittsburgh, PA",4.7,54000 - 115000 
282,Hewlett Packard Enterprise,Software Engineer - Intern,"Houston, TX",4,66000 - 146000 
283,Garmin,Software Engineer Intern,"Salem, OR",4.2,N/A
284,Autodesk,"Intern, Software Engineer",California,4.3,N/A
285,Microsoft,Explore: Intern Opportunities,"Redmond, WA",4.4,N/A
286,Snapchat,2022 Software Engineer Intern,"Los Angeles, CA",4.1,78000 - 173000 
287,Garmin,"Software Engineer Intern (Garmin Pay, NFC - Summer 2022 - Boulder, CO)","Boulder, CO",4.2,23 - 28 
288,TikTok,Software Engineer Intern - 2022 Summer,"Mountain View, CA",3.6,80000 - 174000 
289,HP,Software Engineer Internship,"Spring, TX",4.2,64000 - 125000 
290,Twilio,Software Engineer Intern - USA - Summer 2022,"San Francisco, CA",4.4,41
291,Unity Technologies,Software Engineer Intern,"Bellevue, WA",4.4,78000 - 139000 
292,Intel,Graduate Software Engineer Intern,"Hillsboro, OR",4.2,62000 - 124000 
293,Allegion,Summer Intern - Software Engineer,"Golden, CO",3.7,20 - 24 
294,Salesforce,Summer 2022 Intern - Software Engineer,"Bellevue, WA",4.4,38
295,TikTok,Mobile Software Engineer Intern - 2022 Summer,"Seattle, WA",3.6,N/A
296,Etsy,"Software Engineering Intern, Summer 2022","Brooklyn, NY",4.5,57000 - 125000 
297,Bose,Software Engineering Summer Intern,"Framingham, MA",4,67000 - 141000 
298,"Alteryx, Inc.",Software Engineer Intern (Summer 2022),"Irvine, CA",3.6,40
299,MasterCard,Software Development Engineer Intern,"O'Fallon, MO",4.2,63000 - 126000 
300,MIM Software,Software Engineer Intern,"Beachwood, OH",4.5,51000 - 94000 
301,"Sandhills Global, Inc.",Software Development Intern,"Lincoln, NE",3,25
302,Northrop Grumman,"Intern, Software Engineer","Linthicum, MD",4,34 - 36 
303,Datix,Intern Software Developer,Remote,3.8,N/A
304,Northrop Grumman,"2022 Software Intern (Woodland Hills, CA)","Woodland Hills, CA",4,24 - 30 
305,Northrop Grumman,2022 Digital Software Engineer Intern-Baltimore,"Baltimore, MD",4,23 - 28 
306,Cognex Corporation,Software Engineering Intern,"Natick, MA",4,70000 - 132000 
307,Pinterest,Software Engineering Intern (USA),"Seattle, WA",4.2,81000 - 186000 
308,Salesforce,Software Engineer Intern - Quip,"San Francisco, CA",4.4,73000 - 165000 
309,Salesforce,Summer 2022 Intern - Tableau Software Engineer,"Austin, TX",4.4,38
310,Garmin,"Software Engineer Intern (Java, JavaScript, Python - Summer 2022 - Boulder, CO)","Boulder, CO",4.2,23 - 28 
311,Duolingo,"Software Engineer, Intern","Pittsburgh, PA",4.7,54000 - 115000 
312,Hewlett Packard Enterprise,Software Engineer - Intern,"Houston, TX",4,66000 - 146000 
313,Garmin,Software Engineer Intern,"Salem, OR",4.2,N/A
314,Autodesk,"Intern, Software Engineer",California,4.3,N/A
