,Company Name,Job Name,Location,Rating,Pay
106,Garmin,Software Engineer Intern (Part-Time) - KSU Office,"Manhattan, KS",4.2,$32K - $70K (Glassdoor est.)
107,Smartcare Software,Software Engineer Intern,Remote,N/A,$15 - $20 Per Hour(Employer est.)
108,Pearson,Intern - Software Engineer,"Boston, MA",3.7,$61K - $131K (Glassdoor est.)
109,Clarity,Software Engineer Intern at Silicon Valley-based Early Stage Startup,Remote,N/A,$13 - $33 Per Hour(Employer est.)
110,Khan Academy,Software Engineer Intern,"Mountain View, CA",4.0,$86K - $155K (Glassdoor est.)
111,Red Rock Business Advisors,Software Engineer Intern,"Leesburg, VA",N/A,$59K - $104K (Glassdoor est.)
112,Skyward,Software Engineer Intern,"Stevens Point, WI",4.4,$52K - $98K (Glassdoor est.)
113,Narvalous Inc,Software Engineer Intern (Remote) (Paid),Remote,N/A,$15 Per Hour(Employer est.)
114,"Phoenix Logistics, LLC",Software Engineer Intern,"Orlando, FL",N/A,$56K - $105K (Glassdoor est.)
115,ViaSat,Software Engineer Intern,"Carlsbad, CA",4.1,N/A
116,Forcepoint,Software Engineer Intern,"Champaign, IL",3.1,$57K - $110K (Glassdoor est.)
117,Garmin,Software Engineer Intern (Part-Time) - KU Office,"Lawrence, KS",4.2,$40K - $89K (Glassdoor est.)
118,U.S. Bank,2022 Undergraduate Summer Internship Program - Software Development,"Irving, TX",3.7,$47K - $103K (Glassdoor est.)
119,UiPath,Software Engineer Intern,"Bellevue, WA",4.1,$69K - $138K (Glassdoor est.)
120,Trimble,Software Engineer- Intern,"Princeton, NJ",4.5,$63K - $125K (Glassdoor est.)
121,"Sandhills Global, Inc.",Software Development Intern,"Lincoln, NE",3.0,$25 Per Hour(Employer est.)
122,Datix,Intern Software Developer,Remote,3.8,N/A
123,Northrop Grumman,"2022 Software Intern (Woodland Hills, CA)","Woodland Hills, CA",4.0,$24 - $30 Per Hour(Employer est.)
124,Rivial Data Security,User Experience Intern,Remote,N/A,$15 Per Hour(Employer est.)
125,Northrop Grumman,Intern Engineer Software – Secret,"Palmdale, CA",4.0,N/A
126,Prudential,Prudential: 2022 Coding & Software Development Internship,"Newark, NJ",3.8,$41K - $95K (Glassdoor est.)
127,ITW,Software Engineer Intern,"Forest Junction, WI",3.7,$51K - $93K (Glassdoor est.)
128,ThermoAnalytics,Software Development Interns,"Calumet, MI",N/A,$21 Per Hour(Employer est.)
129,Autodesk,"Intern, Software Engineer","Irvine, CA",4.3,$75K - $167K (Glassdoor est.)
130,Unity Technologies,Software Engineer Intern,"Bellevue, WA",4.4,$78K - $139K (Glassdoor est.)
131,Force Therapeutics,Software Engineer Intern,"New York, NY",4.8,$20 Per Hour(Employer est.)
132,Verizon Media,Software Engineer Intern,"Dulles, VA",3.9,$65K - $127K (Glassdoor est.)
133,Intuit,Software Engineer Intern (Summer 2022),"San Diego, CA",4.4,$61K - $136K (Glassdoor est.)
134,Hewlett Packard Enterprise,System Software Engineer Fall Intern,"Houston, TX",4.0,$72K - $156K (Glassdoor est.)
135,FactSet Research Systems,Software Engineer Intern - Americas Campus (Summer 2022),"York, NY",4.0,$34 Per Hour(Employer est.)
136,Garmin,Software Engineer Intern (Part-Time) - KSU Office,"Manhattan, KS",4.2,$32K - $70K (Glassdoor est.)
137,Smartcare Software,Software Engineer Intern,Remote,N/A,$15 - $20 Per Hour(Employer est.)
138,Pearson,Intern - Software Engineer,"Boston, MA",3.7,$61K - $131K (Glassdoor est.)
139,Clarity,Software Engineer Intern at Silicon Valley-based Early Stage Startup,Remote,N/A,$13 - $33 Per Hour(Employer est.)
140,Red Rock Business Advisors,Software Engineer Intern,"Leesburg, VA",N/A,$59K - $104K (Glassdoor est.)
141,Skyward,Software Engineer Intern,"Stevens Point, WI",4.4,$52K - $98K (Glassdoor est.)
142,Narvalous Inc,Software Engineer Intern (Remote) (Paid),Remote,N/A,$15 Per Hour(Employer est.)
143,ViaSat,Software Engineer Intern,"Carlsbad, CA",4.1,N/A
144,Forcepoint,Software Engineer Intern,"Champaign, IL",3.1,$57K - $110K (Glassdoor est.)
145,Garmin,Software Engineer Intern (Part-Time) - KU Office,"Lawrence, KS",4.2,$40K - $89K (Glassdoor est.)
146,U.S. Bank,2022 Undergraduate Summer Internship Program - Software Development,"Irving, TX",3.7,$47K - $103K (Glassdoor est.)
147,Vectorworks Inc.,Software Engineer Intern (Systems Development),"Columbia, MD",4.0,$62K - $125K (Glassdoor est.)
148,Schweitzer Engineering Laboratories,Software Engineer Intern,"Pullman, WA",3.9,$56K - $120K (Glassdoor est.)
149,Citadel,Software Engineer Intern,"Chicago, IL",3.7,$83K - $146K (Glassdoor est.)
150,Trimble,Software Engineer- Intern,"Princeton, NJ",4.5,$63K - $125K (Glassdoor est.)
151,"Sandhills Global, Inc.",Software Development Intern,"Lincoln, NE",3.0,$25 Per Hour(Employer est.)
152,BECHT,Software Engineering Intern/Co-op Student - Spring 2022,Remote,4.9,N/A
153,Flagship Trade Net,"Web Developement / Frontend Maintenance, Intern/Consulting Position",,N/A,$20 - $30 Per Hour(Employer est.)
154,Datix,Intern Software Developer,Remote,3.8,N/A
155,Northrop Grumman,"2022 Software Intern (Woodland Hills, CA)","Woodland Hills, CA",4.0,$24 - $30 Per Hour(Employer est.)
156,Prudential,Prudential: 2022 Coding & Software Development Internship,"Newark, NJ",3.8,$41K - $95K (Glassdoor est.)
157,Rivial Data Security,User Experience Intern,Remote,N/A,$15 Per Hour(Employer est.)
158,Prudential,Prudential: 2022 Information Technology Internship,"Newark, NJ",3.8,$53K - $122K (Glassdoor est.)
159,Northrop Grumman,Intern Engineer Software – Secret,"Palmdale, CA",4.0,N/A
160,ITW,Software Development Intern,"Fort Lauderdale, FL",3.7,$44K - $96K (Glassdoor est.)
161,Stackline,Software Engineer-2022 Internship,"Seattle, WA",4.2,$71K - $158K (Glassdoor est.)
162,ThermoAnalytics,Software Development Interns,"Calumet, MI",N/A,$21 Per Hour(Employer est.)
163,Unity Technologies,Software Engineer Intern,"Bellevue, WA",4.4,$78K - $139K (Glassdoor est.)
164,MasterCard,Software Development Engineer Intern,"Arlington, VA",4.2,$68K - $135K (Glassdoor est.)
165,Intuit,Software Engineer Intern (Summer 2022),"San Diego, CA",4.4,$61K - $136K (Glassdoor est.)
166,Verizon Media,Software Engineer Intern,"Dulles, VA",3.9,$65K - $127K (Glassdoor est.)
167,Force Therapeutics,Software Engineer Intern,"New York, NY",4.8,$20 Per Hour(Employer est.)
168,Garmin,Software Engineer Intern (Part-Time) - KSU Office,"Manhattan, KS",4.2,$32K - $70K (Glassdoor est.)
169,L3Harris Technologies,"Software Engineering Intern C/Coop (Greenville, TX)","Greenville, TX",3.6,$48K - $113K (Glassdoor est.)
170,FactSet Research Systems,Software Engineer Intern - Americas Campus (Summer 2022),"York, NY",4.0,$34 Per Hour(Employer est.)
171,Hewlett Packard Enterprise,System Software Engineer Fall Intern,"Houston, TX",4.0,$72K - $156K (Glassdoor est.)
